activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
tablet,Richmond Upon Thames Crossroads Care Scheme,"Classification:  103 Medical/Health/Sickness  104 Disability
We provide respite care for Carers of all ages, our highly qualified staff offer person-centred services to meet the needs of the carers and the cared for. We run a 'Caring Cafe' for people living with Dementia and their carers, a Saturday club for children with learning difficulties & a carers drop incorporating digital tablet training",531093.0,London,Richmond upon Thames,www.crossroadscarerk.org,1,"[104, 102, 103]","['Disability', 'Education/training', 'The advancement of health or saving of lives']"
internet,Blast Theory,"Blast Theory are known internationally as one of the most adventurous artists' groups using interactive media, creating groundbreaking new forms of performance and interactive art that mixes audiences across the internet, live performance and digital broadcasting. The groups work explores interactivity and the social and political aspects of technology.",454995.0,South East,Brighton and Hove,www.blasttheory.co.uk,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
technolog,Blast Theory,"Blast Theory are known internationally as one of the most adventurous artists' groups using interactive media, creating groundbreaking new forms of performance and interactive art that mixes audiences across the internet, live performance and digital broadcasting. The groups work explores interactivity and the social and political aspects of technology.",454995.0,South East,Brighton and Hove,www.blasttheory.co.uk,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
social enterpris,Sussex Emmaus,"The Emmaus Brighton & Hove Community offers a home and meaningful work to 48 men and women, many of whom have been formerly homeless. 6 social enterprises generate funds which support the work of the Community - 4 retail shops, a cafe and garden shop. Residents (Companions) can stay as long as they need. The Community is committed to helping those in greatest need through its solidarity work.",1132789.0,South East,Brighton and Hove,www.emmausbrighton.co.uk,1,"[105, 107, 113]","['The prevention or relief of poverty', 'Accommodation/housing', 'Economic/community development/employment']"
comput,Everyone Can,The Charity helps disabled people overcome barriers to accessing computers and technology. Everyone Can assesses the adapted technology that will benefit disabled people and provides training and on-going support for specialist software and hardware. The Charity works with individuals and organisations. The Charity also offers computer gaming days for groups of disabled children.,223938.0,London,City of London,www.aidis.org,1,[104],['Disability']
hardwar,Everyone Can,The Charity helps disabled people overcome barriers to accessing computers and technology. Everyone Can assesses the adapted technology that will benefit disabled people and provides training and on-going support for specialist software and hardware. The Charity works with individuals and organisations. The Charity also offers computer gaming days for groups of disabled children.,223938.0,London,City of London,www.aidis.org,1,[104],['Disability']
technolog,Everyone Can,The Charity helps disabled people overcome barriers to accessing computers and technology. Everyone Can assesses the adapted technology that will benefit disabled people and provides training and on-going support for specialist software and hardware. The Charity works with individuals and organisations. The Charity also offers computer gaming days for groups of disabled children.,223938.0,London,City of London,www.aidis.org,1,[104],['Disability']
technolog,Tech4All,"Relief of poverty, especially through use of technology. Ongoing: Voicemail for the homeless; technology to help people out of poverty through the use of trade. Former project: Flexible transport project.",134895.0,London,Kensington and Chelsea,www.tech4all.org.uk,1,[105],['The prevention or relief of poverty']
comput,Beacon House Ministries,"Primary healthcare and holistic support for those who are homeless or in insecure accommodation. Nurse-led clinics; smoking cessation; showers; provision of clothing, toiletries and food; a laundry service; cooked meals; a computer suite; a craft and activities room; and a range of occupational and therapeutic activities to build skills and confidence.",378063.0,East of England,Colchester,www.beaconhouseministries.org.uk,1,"[116, 102, 103, 105]","['Recreation', 'Education/training', 'The advancement of health or saving of lives', 'The prevention or relief of poverty']"
instal,The Showroom Gallery Ltd.,"The Charity is established to advance public education by the provision of an art gallery for the exhibition of contemporary art, including performance, video, installation, and artist commissions involving local participation. It is also involved in the formulation, preparation and establishment of schemes, provided that all the objectives of the charity shall be of a charitable nature.",401144.0,London,Westminster,www.theshowroom.org,0,[109],['Arts/culture/heritage/science']
startup,The Casey Trust,"To make  grants for projects,  (preferably startup or new intiatives in existing projects) for children worldwide aged up to 18 , to such charitable institutions that the Trustees in their absolute discretion think fit. Before submitting an Application refer to the criteria on the Casey Trust website at www.caseytrust.org",127456.0,London,Camden,www.caseytrust.org,1,"[105, 104, 109, 103]","['The prevention or relief of poverty', 'Disability', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives']"
measur,British Hiv Association,"Promote and monitor high standards of care through advisory groups and the development and distribution of guidelines. 
Disseminate the results of research through scientific meetings and through the official publications of BHIVA.
Publish and promote material related to the aims and objectives of BHIVA.
Set achievable targets and indicators of care against which success can be measured.",1248049.0,London,Barnet,http://www.bhiva.org,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
grantmak,The Pepper Foundation,"The Pepper Foundation provides funding for the Pepper Children's Nurses & Family Support Team who care & support terminally ill or chronically sick children & their families at home.  Funds are raised through quality events, eg. musical concerts, balls etc; applications to grant-making bodies; donations;  presentations to local groups to encourage them to donate or fund-raise for the charity.",299394.0,East of England,Dacorum,www.pepper.org.uk,1,"[103, 105]","['The advancement of health or saving of lives', 'The prevention or relief of poverty']"
analysi,Foundation For Social And Economic Thinking,"The Principal object of the charity is to support research and analysis (through publications, seminars, conferences) on constitutional, economic and social issues in the UK in order to help inform and educate public understanding of these matters.",132573.0,London,Westminster,,0,"[103, 102, 113]","['The advancement of health or saving of lives', 'Education/training', 'Economic/community development/employment']"
platform,Sinfonia Cymru,Sinfonia Cymru combines diversity and excellence to create a unique platform for young players at the beginning of their musical careers and to take chamber music of an exceptional quality to the people of Wales. It provides intensive training and preparation for the world of professional music.,343564.0,,Cardiff,sinfoniacymru.co.uk,0,[109],['Arts/culture/heritage/science']
instal,Medicinema,The Installation And Operation Of State Of The Art Cinemas In Hospitals And Annual Film Screening Programme For Patients Of All Ages (Including Those In Beds & Wheelchairs) Their Families And Carers. Admission Free Of Charge.,612592.0,London,Southwark,www.medicinema.org.uk,1,"[103, 104, 109]","['The advancement of health or saving of lives', 'Disability', 'Arts/culture/heritage/science']"
social enterpris,The Teamwork Trust,"The Teamwork Trust is a registered charity and an established social enterprise delivering a wide range of Programmes for vulnerable adults who have short-term or enduring mental health issues, learning difficulties, physical disabilities. 
The individual can access our Enabling, Education, Activities and Counseling Programmes to help achieve their goals, maintain well-being and increase skills.",1008653.0,East Midlands,Kettering,www.teamworktrust.co.uk,1,"[102, 113, 104]","['Education/training', 'Economic/community development/employment', 'Disability']"
technolog,Nubian Life Resource Centre Ltd,"Daycare Service
Luncheon Club 
Capacity Building
Information Technology
Tranpsort Services For Sevice Users
Outings & Cultural Events
Healthy Lifestyle",258556.0,London,Hammersmith and Fulham,www.nubianlife.org.uk,1,"[102, 109, 103, 105, 104]","['Education/training', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives', 'The prevention or relief of poverty', 'Disability']"
social media,People'S Voice Media,We run a Community Reporters programme allowing groups and individuals to tell their stories through the medium of social media; and Education Services,144022.0,North West,Salford,www.peoplesvoicemedia.co.uk,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
directori,Mental Health Support In Hambleton And Richmondshire,"The charity is a voluntary sector provider and a charitable co ltd by guarantee. Under service level agreements with statutory services it provides a range of day support services for people aged over 18 yrs who have or are experiencing mental health problems. It manages a mental health service directory, sign posts to other sources of help and provides opportunities for volunteers.",204147.0,Yorkshire and The Humber,Hambleton,www.4mhs.org,1,"[107, 103, 104]","['Accommodation/housing', 'The advancement of health or saving of lives', 'Disability']"
disrupt,Body And Soul,"Body & Soul is a pioneering UK charity delivering a proven transformational programme for people of all ages who have experienced childhood adversity, including those affected by family disruption, suicidal behaviour and HIV.",1283791.0,London,Islington,www.bodyandsoulcharity.org,0,"[117, 102, 103]","['Other charitable purposes', 'Education/training', 'The advancement of health or saving of lives']"
technolog,N A A C E,To advance education through encourging the appropriate and effective use of information and communication technology (ICT) and offer support to those in related activities.,101900.0,South East,Southampton,www.naace.co.uk,0,[102],['Education/training']
social enterpris,Walworth Garden,"Training and Employment Programmes City & Guilds QCF Work based Horticulture 
Garden Services (Social Enterprise) 
Horticultural Therapy
Adult Learning: Introduction to Gardening;Horticulture; Beekeeping;Herbal Medicine and others",315931.0,London,Southwark,www.walworthgarden.org.uk,0,"[113, 112, 102]","['Economic/community development/employment', 'Environment/conservation/heritage', 'Education/training']"
technolog,The United Kingdom Society For Trenchless Technology,The charity attains its objectives by holding its own meetings and attending meetings of other societies which allow for an interchange of ideas regarding Trenchless technology.,105308.0,,,www.ukstt.org.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
grantmak,The Rowlands Trust,General grant-making activities.,175062.0,West Midlands,Worcester,,1,"[102, 103, 109, 104, 105, 112]","['Education/training', 'The advancement of health or saving of lives', 'Arts/culture/heritage/science', 'Disability', 'The prevention or relief of poverty', 'Environment/conservation/heritage']"
technolog,The Design And Technology Association,"The Design and Technology Association is the recognised professional organisation for all design and technology educators and aims to inspire, develop and support excellence in the subject. The Association helps to improve the quality of planning, teaching, management and leadership of the subject and, therefore, contributes to a better and more effective learning experience for children.",1008976.0,West Midlands,Stratford-on-Avon,www.data.org.uk,0,[102],['Education/training']
social enterpris,The Penywaun Enterprise Partnership,"The Penywaun Enterprise Partnership exist for the social, economic and environmental regenertion of the Penywaun Ward, in the Cynon Valley in Central South Wales. 
The Charity's activity can be divided in to three broad categories: Direct provisin of community services, brokering service delivery with other agences, and stimulating social enterprise to generate independent sources of income.",368845.0,,Rhondda Cynon Taf,,0,[113],['Economic/community development/employment']
social media,Beating Bowel Cancer,"Beating Bowel Cancer is the support and campaigning charity for everyone affected by bowel cancer. We provide vital practical and emotional help ? on the phone, digitally and face to face. We run the UK?s only nurse-led specialist helpline and bring patients together to share invaluable experience and support, through our website, social media and major events.",1679119.0,London,Richmond upon Thames,www.beatingbowelcancer.org,0,[103],['The advancement of health or saving of lives']
internet,Action For Borstal Community Project,"The Centre offers a large number of activities to the families of Borstal, Rochester and surronding areas. We provide a playgroup for children between the ages of two and five and work with parents in childcare education and health issues. This is suported by regular visits from Social Services and Health visitors. There is also an information centre, computer suite and internet access.",100601.0,South East,Medway,www.abcproject.org.uk,0,[102],['Education/training']
analysi,Child Autism Uk,Child Autism UK promotes early behavioural intervention and helps parents of children with autism by providing support information and choice. Child Autism UK runs a helpline for parents and provides applied behavioural analysis (ABA) services throughout the UK.,580020.0,South East,Bracknell Forest,www.childautism.org.uk,0,[102],['Education/training']
social enterpris,Emmaus Cambridge,"Emmaus supports formerly homeless people by giving them a home, meaningful voluntary work in a social enterprise and an opportunity to get back on their feet again.  For many who ever experience homelessness one of the biggest obstacles they must overcome is a loss of self-esteem. Emmaus provides a stable home and the opportunity to regain self-worth, making a real contribution to their community.",1190051.0,East of England,South Cambridgeshire,www.emmauscambridge.org,1,"[113, 107, 105]","['Economic/community development/employment', 'Accommodation/housing', 'The prevention or relief of poverty']"
dynam,"Margaret Pyke Trust, With The Population & Sustainability Network","A charity working in the UK, Africa and Asia specialising in contraception and reproductive health. Providing clinical training; health education; supporting academic research; raising awareness of the links between population dynamics, reproductive health and rights and other development priorities; and managing projects integrating reproductive health services with other interventions.",307510.0,London,Islington,www.margaretpyke.org,1,"[112, 115, 103, 102]","['Environment/conservation/heritage', 'Human rights/religious or racial harmony/equality or diversity', 'The advancement of health or saving of lives', 'Education/training']"
internet,The Cathedral Archer Project Limited,"The CAP is a day centre for homeless and vulnerable adults based in Sheffield City Centre. Services provided are(showers, free telephone, free breakfasts, subsidised lunches, access to health care  professionals, education, football, sewing, literacy & numeracy, internet access,advice & guidance session, signposting and working alongside other agencies) Also offered are a variety of activities.",604576.0,Yorkshire and The Humber,Sheffield,www.archerproject.org.uk,1,"[103, 105, 102]","['The advancement of health or saving of lives', 'The prevention or relief of poverty', 'Education/training']"
messag,Caerphilly People First,Caerphilly People First is a self advocacy organisation run by and for people with learning disabilities.  We have over 100 members and hold regular meetings with them which gives them a chance to express their views and to get the message across that they can think for themselves and should be allowed to make their own decisons.,134115.0,,Caerphilly,www.caerphillypeoplefirst.org.uk,1,"[115, 104, 113, 102]","['Human rights/religious or racial harmony/equality or diversity', 'Disability', 'Economic/community development/employment', 'Education/training']"
technolog,The Ear Foundation,"The Ear Foundation is an independent charity that helps deaf people and their families make the best use of technology to improve hearing, communication and spoken language.  We do this through education, family and clinical services, carrying out research and advocating for access to the latest hearing technologies.",908162.0,East Midlands,Nottingham,http://www.earfoundation.org.uk,1,"[102, 103, 104]","['Education/training', 'The advancement of health or saving of lives', 'Disability']"
instal,Fevered Sleep,"The charity's activities are to advance education for the public benefit by the promotion of the arts, in particular but not exclusively the art of drama.  These activities include touring theatre productions, installations, workshops and participatory projects.",496935.0,London,Hackney,www.feveredsleep.co.uk,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
dynam,The Poetry School,"The Poetry School helps poets of all levels write their best poetry by creating and delivering a dynamic, responsive and high quality programme of education that takes place throughout England and online. The Poetry School aims to create an inclusive and supportive critical community of writers and readers and is dedicated to nurturing original new voices in contemporary poetry.",374089.0,London,Lambeth,www.poetryschool.com,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
social enterpris,Bath Mind,"To promote good mental health throughout Bath and surrounding area and improve the lives of anyone living with mental ill health. We provide housing with support and care, welfare benefits advice, training packages for businesses and Mental Health First Aid courses, community groups and social enterprises such as Greenlinks gardening group, Food for Thought Open Opportunities and Friends in Need.",519033.0,South West,Bath and North East Somerset,www.bathmind.org.uk,1,"[103, 107, 104, 102]","['The advancement of health or saving of lives', 'Accommodation/housing', 'Disability', 'Education/training']"
comput,Sutton Mental Health Foundation Charity Company,"Sutton Mental Health Foundation provides:
- A drop-in for people with mental health problems living independently in the London Borough of Sutton to find friendship and support in a relaxed and unstructured atmosphere
- Peer Support and Recovery training
- Welfare and benefits advice
- Basic skills computer training",206926.0,London,Sutton,www.smhf.org.uk,1,[104],['Disability']
data,Family Education Trust,"The principal objects of the charity are:
1. To establish, carry out and promote research into the social, medical and psychological consequences of sexual behaviour; and
2. To establish, carry out and promote research into the family founded on marriage; 
and to publish and disseminate the information and data obtained therefrom.",122687.0,South East,Spelthorne,www.familyeducationtrust.org.uk,0,[102],['Education/training']
comput,U Can Do I.T. (Internet Training),U Can Do IT is a charity which provides computer training for disabled and elderly people in their own homes.  The course consists of up to 10 training sessions and includes emailing and surfing the internet.,206439.0,,,,1,"[102, 104]","['Education/training', 'Disability']"
internet,U Can Do I.T. (Internet Training),U Can Do IT is a charity which provides computer training for disabled and elderly people in their own homes.  The course consists of up to 10 training sessions and includes emailing and surfing the internet.,206439.0,,,,1,"[102, 104]","['Education/training', 'Disability']"
camera,Constitution Hill Ltd,"To educate the public in the heritage of the Cliff railway, Camera Obscura and Constitution hill and the encourage volunteer input.",233967.0,,Ceredigion,www.aberystwythcliffrailway.co.uk,0,"[112, 102]","['Environment/conservation/heritage', 'Education/training']"
electron,Association Of Marine Electronic And Radio Colleges Limited,Advancement of education and training in the field of Marine Communications and Electrical and Electronics Engineering. To approve courses and run Marine Radio Communication Examinations.,336890.0,South East,Isle of Wight,www.amerc.ac.uk,0,[102],['Education/training']
measur,Act On Energy,"Provision of free and impartial advice on energy efficiency to the general public;
Promote the relief of fuel poverty;
Deliver educational programmes in schools and colleges;
Devise and manage schemes on behalf of others to promote energy efficiency measures and seek supporting funding;
Work with charities, voluntary bodies, statutory authorities and others",390269.0,West Midlands,Stratford-on-Avon,www.actonenergy.org.uk,1,"[112, 105]","['Environment/conservation/heritage', 'The prevention or relief of poverty']"
data,The International Space School Educational Trust,"The advancement of education through the creation. maintenance and development of facilities for the teaching and exchange of information, data, ideas and experiences concerning space travel and the work of astronauts.   The provision of bursaries in the form of assistance with travel, fees and books.   The fostering of educational exchanges by pupils and teachers from the UK and overseas",551231.0,,Vale of Glamorgan,www.isset.org,0,[102],['Education/training']
comput,The Furzedown Project,"The Furzedown Project is an activities day centre for older people living in South West London. The Project is a community of warm, friendly over sixties who want to meet new people, keep active and learn new skills. We offer a range of activities including art classes, Asian Friendship Group, bingo, computer support, Keep Fit, singing,, summer outings, a drop-in facility and much more.",170953.0,London,Wandsworth,www.furzedownproject.org,0,[117],['Other charitable purposes']
internet,Uk Citizens Online Democracy,"At present, UKCOD's main activity is running the mySociety project. mySociety builds websites which give people simple, tangible benefits in the civic and community aspects of their lives. It also aims to teach the public and voluntary sectors, through demonstration, how to use the internet most efficiently to improve lives.",1384948.0,London,Enfield,www.mysociety.org,0,[117],['Other charitable purposes']
social enterpris,Emmaus Hampshire,Emmaus Hampshire is an independent homelessness and social enterprise charity offering community life and meaningful work to previously homeless people.,529135.0,South East,Winchester,www.emmaushampshire.org.uk,1,"[105, 107]","['The prevention or relief of poverty', 'Accommodation/housing']"
technolog,Deep Recording Trust,"Sound Engineering,Recording,Media & Music Technology Training And Development. Employable Industry Skills. City & Guilds Centre. Joint Audio Media Education Services (James) Approved Industry Training Courses.",169095.0,West Midlands,Stratford-on-Avon,http://www.deeprecordingstudios.co.uk,0,"[116, 113, 102, 109]","['Recreation', 'Economic/community development/employment', 'Education/training', 'Arts/culture/heritage/science']"
social enterpris,The Apsley Paper Trail,"We are a conservation & education charity & social enterprise. We have a visitor centre & operate a 110 year old paper machine. We run education & training courses for individuals, families, schools, & companies. We make specialist papers for arts, crafts and commercial uses and provide workspaces for individuals and SME's as well as a research incubator for developing new uses for paper.",444906.0,East of England,Dacorum,www.thepapertrail.org.uk,0,"[102, 113, 109, 112]","['Education/training', 'Economic/community development/employment', 'Arts/culture/heritage/science', 'Environment/conservation/heritage']"
social enterpris,Sound Minds,"Sound Minds is a user led social enterprise applying the arts to improve the lives of people living with mental ill health through:
     music, filmmaking, theatre and the visual arts
     accredited courses in Popular Music and Filmmaking
     A booking agency for performances and workshops
     communicating about mental health
     a peer to peer hospital Ward Visiting service",168029.0,London,Wandsworth,www.soundminds.co.uk,0,"[102, 103, 109]","['Education/training', 'The advancement of health or saving of lives', 'Arts/culture/heritage/science']"
social enterpris,Rbs Social & Community Capital,"The charity aims to help local community groups through, for example, the provision of loans to Social Enterprises, charities, not-for-profit organisations & Responsible Finance providers. Our mission is to create positive change for vulnerable & disadvantaged groups across the United Kingdom through the provision of finance to viable social ventures that have been refused traditional bank lending",479296.0,London,Tower Hamlets,www.natwest.co.uk/scc,0,[113],['Economic/community development/employment']
ventur,Rbs Social & Community Capital,"The charity aims to help local community groups through, for example, the provision of loans to Social Enterprises, charities, not-for-profit organisations & Responsible Finance providers. Our mission is to create positive change for vulnerable & disadvantaged groups across the United Kingdom through the provision of finance to viable social ventures that have been refused traditional bank lending",479296.0,London,Tower Hamlets,www.natwest.co.uk/scc,0,[113],['Economic/community development/employment']
technolog,Earthworks Trust Limited,"OPERATION OF THE SUSTAINABILITY CENTRE as an independent education and learning centre
Mission Statement:
To demonstrate, develop and promote knowledge, skills, technologies and lifestyles that improve people's quality of life without damaging the local and global environment.",181828.0,South East,East Hampshire,www.sustainability-centre.org,0,"[112, 116, 102]","['Environment/conservation/heritage', 'Recreation', 'Education/training']"
internet,Childnet,"Childnet's mission is to work in partnership with others worldwide to help make the Internet a great & safe place for children. Our vision is to ensure that all those involved in developing, producing, controlling, using & regulating international telecoms , recognise & implement policies and programmes which prioritise the rights of children so that their interests are both promoted & protected",755025.0,London,Lewisham,www.childnet.com,0,[102],['Education/training']
dynam,South Asian Arts-Uk,"SAA-uk (South Asian Arts-uk) is a small, dynamic organisation and registered charity committed to making South Asian arts more readily available through working collaboratively and by nurturing partnerships through our performance, education and consultancy programme. 
Our mission is:	To promote engagement with traditional and contemporary South Asian Music and Dance.",260245.0,Yorkshire and The Humber,Leeds,www.saa-uk.org,1,"[109, 115, 112, 102]","['Arts/culture/heritage/science', 'Human rights/religious or racial harmony/equality or diversity', 'Environment/conservation/heritage', 'Education/training']"
technolog,The Institute For Cancer Vaccines And Immunotherapy,The principal activity of the charity is the advancement of education and the protection and preservation of public health by promoting research into the treatment of cancer by vaccine technology and by promoting the dissemination of the useful results of such research.,349872.0,London,Lambeth,www.icvi.org.uk,0,"[102, 103]","['Education/training', 'The advancement of health or saving of lives']"
diagnost,The Facial Surgery Research Foundation - Saving Faces,"Saving Faces aims to reduce the incidence of oral cancers, injury and disfigurement by leading and promoting research into the prevention, causes and treatment of these conditions. We fund the National Facial and Oral Research Centre, the National Head and Neck Cancer Audit, a patient-to-patient helpline, the Saving Faces Diagnostic Advice Service, PhD studentships and clinical fellowships.",437963.0,London,Tower Hamlets,www.savingfaces.co.uk,0,"[102, 109, 103]","['Education/training', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives']"
data,National Biodiversity Network Trust,"To advance, formally and informally, public participation in and public understanding and enjoyment of, the conservation of biological resources, together with their sustainable and wise use, by providing public access to biological records, data or information pertaining to the UK, the Channel Islands and the Isle of Man.",789253.0,East Midlands,Nottingham,www.nbn.org.uk,0,[112],['Environment/conservation/heritage']
technolog,Pragya,"To stimulate development in vulnerable and neglected communities, particularly in ecologically fragile areas, enabling and empowering them through the use of appropriate technologies, traditional knowledge and indigenous solutions. The intervention includes working on education, health, culture presevation, water and irrigation technologies, and renewable energies. Work on gender and livelihood is",485119.0,London,Lambeth,www.pragya.org,1,"[105, 113, 109, 112, 106]","['The prevention or relief of poverty', 'Economic/community development/employment', 'Arts/culture/heritage/science', 'Environment/conservation/heritage', 'Overseas aid/famine relief']"
technolog,Appropriate Technology Asia Ltd,"To advance the education of people in Asia, to relieve their poverty and to improve their health by, the application of appropriate technologies designed to supply heat, light, water, housing and other necessities in their communities. By establishing, maintaining and developing in those communities provision for the study of and training in Appropriate Technology applications relevant to needs",154027.0,East of England,Fenland,www.atasia.org.uk,1,"[106, 112, 102, 105, 113]","['Overseas aid/famine relief', 'Environment/conservation/heritage', 'Education/training', 'The prevention or relief of poverty', 'Economic/community development/employment']"
predict,Aegis Trust,"To work towards the prediction, prevention and ultimately the elimination of genocide for the benefit of humanity primarily through research, education and the dissemination of information and advice.",1301069.0,East Midlands,Newark and Sherwood,www.aegistrust.org,1,"[103, 113, 102, 106, 115]","['The advancement of health or saving of lives', 'Economic/community development/employment', 'Education/training', 'Overseas aid/famine relief', 'Human rights/religious or racial harmony/equality or diversity']"
predict,Aegis Trust,"To work towards the prediction, prevention and ultimately the elimination of genocide for the benefit of humanity primarily through research, education and the dissemination of information and advice.",1301069.0,East Midlands,Newark and Sherwood,www.aegistrust.org,1,"[103, 113, 102, 106, 115]","['The advancement of health or saving of lives', 'Economic/community development/employment', 'Education/training', 'Overseas aid/famine relief', 'Human rights/religious or racial harmony/equality or diversity']"
digit,Stanstead Lodge Senior Club Ltd,"All activites are for the benefit of older people living in and around the London Borough of Lewisham and include: community cafe,  language learning opportunities, digital inclusion, social activities, keep fit and dance classes, and a place of belonging.",139243.0,London,Lewisham,www.stansteadlodge.org,1,"[103, 109, 112, 113, 116, 102, 105]","['The advancement of health or saving of lives', 'Arts/culture/heritage/science', 'Environment/conservation/heritage', 'Economic/community development/employment', 'Recreation', 'Education/training', 'The prevention or relief of poverty']"
analysi,Regional Studies Association,"The RSA runs an events programme and funds Research Networks, Researcher Grants, conference bursaries and other awards. We publish: Regional Studies, Spatial Economic Analysis, Territory Politics Governance, Regional Studies Regional Science, Area Development and Policy, Regions magazine and the Regions and Cities book series. With an international membership we recognise excellence in our field.",901800.0,South East,Lewes,http://www.regionalstudies.org,0,[102],['Education/training']
internet,British And Irish Legal Information Institute,"The British and Irish Legal Information Institute (BAILII) provides access to the most comprehensive set of British and Irish primary legal materials that are available for free and in one place on the internet. 
BAILII is hosted in the UK and Ireland by the Institute of Advanced Legal Studies, London and the Law Faculty, University College Cork.",138319.0,London,Camden,www.bailii.org,0,[102],['Education/training']
technolog,Collar And Tie Limited,"C&T is a theatre company that mixes performance, learning and new media technologies to produce participatory experiences that enable young and disabled people to learn new skills, understand complex issues and to generate creative, learning and democratic opportunities.",195192.0,West Midlands,Worcester,www.candt.org,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
technolog,Learning Foundation,"To further education through encouraging and enabling the adoption of information,learning and communications technologies in schools and in the home on a basis of equity of access to all with special regard to the education needs, including the provision of information, advice and funding support of those who have social or economic disadvantage or who have a disability.",1614402.0,South East,Windsor and Maidenhead,www.learningfoundation.org.uk,0,[102],['Education/training']
digit,"S.H.E. Uk (Supporting, Healing, Educating)","We offer a range of services for survivors of childhood sexual abuse, exploitation and rape, including support groups, drop-ins, facilitated creative therapy, 1-to-1 therapy & crisis therapy, digital support, personal development courses, & mentoring with 1-1 support. Drop in services are provided in Newark, Mansfield, Retford and Worksop.We also deliver specialised training and conferences.",134621.0,East Midlands,Mansfield,www.she-uk.org.uk,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
digit,Citizens Online,"Citizens Online is a national charity committed to researching and addressing the issues of Universal Internet Access and promoting digital inclusion. Our vision is ""to make the benefits of digital technologies easy to access and usable by all, to promote a just and inclusive society.",614849.0,South West,Stroud,www.citizensonline.org.uk,0,[102],['Education/training']
internet,Citizens Online,"Citizens Online is a national charity committed to researching and addressing the issues of Universal Internet Access and promoting digital inclusion. Our vision is ""to make the benefits of digital technologies easy to access and usable by all, to promote a just and inclusive society.",614849.0,South West,Stroud,www.citizensonline.org.uk,0,[102],['Education/training']
technolog,Citizens Online,"Citizens Online is a national charity committed to researching and addressing the issues of Universal Internet Access and promoting digital inclusion. Our vision is ""to make the benefits of digital technologies easy to access and usable by all, to promote a just and inclusive society.",614849.0,South West,Stroud,www.citizensonline.org.uk,0,[102],['Education/training']
analysi,The Pensions Policy Institute,"The Pensions Policy Institute (PPI) is an educational charity which provides non-political, independent comment and analysis on pensions policy and retirement income provision in the UK. Findings of our research are used extensively by government decision-makers and advisers, pension and savings providers, employers and trades unions, academics, commentators and the wider public.",799702.0,London,Westminster,www.pensionspolicyinstitute.org.uk,0,[102],['Education/training']
social enterpris,Nsa Afan (Community Regeneration),We cultivate community enterprise and are a member of the Development Trust Association Wales.  We  acquire or purchase local assets to meet local needs.  We secure community prosperity by keeping money within the community as much as we can by sourcing local suppliers and customers.  We strive to build a sustainable organisation and a sustainable community.  We embrace social enterprise.,958890.0,,Neath Port Talbot,www.nsaafan.co.uk,1,"[102, 104, 105, 112, 113, 117]","['Education/training', 'Disability', 'The prevention or relief of poverty', 'Environment/conservation/heritage', 'Economic/community development/employment', 'Other charitable purposes']"
satellit,The Regent (Christchurch) Limited,"Thriving classes in drama, singing and dance, year-round rotating visual arts exhibitions in a variety of media, an eclectic live performance programme involving community presentations, high quality touring events, a wide-ranging film programme, which includes minority interest films alongside mainstream offerings, and satellite broadcasts of Opera, Theatre and Concerts",1378104.0,South West,Christchurch,www.regentcentre.co.uk,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
comput,Havering Association For People With Disabilities,"Providing support, information, Advocacy, training including computer training to disabled people and carers.",100843.0,London,Havering,www.hadhavering.co.uk,1,"[102, 104]","['Education/training', 'Disability']"
databas,Centre For Local Economic Strategies Limited,"CLES undertakes research, organises confereces, seminars and training courses, produces publications and runs a library, information service and database in relation to the formulation, direction, organisation, administration and effects of economic, fiscal and employment policies and initiatives in the UK.",728718.0,North West,Manchester,www.cles.org.uk,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
analysi,Scidev.Net,"SciDev.Net is committed to putting science at the heart of global development.
Our website is the world's leading source of reliable and authoritative news, views and analysis on information about science and technology for global development.
We engage primarily with development professionals, policy makers, researchers, the media and the informed public.",1157445.0,London,City of London,www.scidev.net,1,"[102, 117, 106]","['Education/training', 'Other charitable purposes', 'Overseas aid/famine relief']"
technolog,Birmingham E-Learning Foundation,"The principal object of the charity is the advancement of education and in particular of those who have social or economic disadvantage or who have a disability, through the provision and assistance in the provision of information, learning and communications technology. This activity is classified as schools e-learning.",380373.0,West Midlands,Worcester,http://www.belf.org.uk,0,[102],['Education/training']
