grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
data,360G-LondonCouncils-7587,Pan-London Domestic and Sexual Violence Helplines and coordinated access to refuge provision,"This project will provide London-wide domestic and sexual violence helpline support  and coordinated access to refuge provision.  Through a partnership between the NDVHL, WGN and RASAC the project responded to the needs of all London callers - including men, boys and LGBT callers - experiencing domestic and/or sexual violence by providing: - confidential support and information to inform decision making; - risk assessment and safety planning; - referral to specialist services, including emergency safe accommodation; - a dedicated email referral mechanism to London refuge places for London borough officers; - online support and information.  Callers will be supported in relation to all forms of domestic and sexual violence, including sexual exploitation within a gang context.  UKROL provided comprehensive data on all London VAWG services, enabling users to instantly identify spaces in, and refer to, refuge accommodation.   Drawing on information provided by the helplines and UKROL database, and collected directly from London domestic and sexual violence services, Women's Aid provided London Councils with comprehensive data on: - the nature and availability of service provision in London; - the utilisation of refuge provision; - outcomes of referrals across London (linked to protected equalities characteristics); - gaps in service provision.",1000152.0,2013-02-20,2013-04-01,Women's Aid Federation of England (Women's Aid),1054154,GB-COH-03037449,London Councils
databas,360G-LondonCouncils-7587,Pan-London Domestic and Sexual Violence Helplines and coordinated access to refuge provision,"This project will provide London-wide domestic and sexual violence helpline support  and coordinated access to refuge provision.  Through a partnership between the NDVHL, WGN and RASAC the project responded to the needs of all London callers - including men, boys and LGBT callers - experiencing domestic and/or sexual violence by providing: - confidential support and information to inform decision making; - risk assessment and safety planning; - referral to specialist services, including emergency safe accommodation; - a dedicated email referral mechanism to London refuge places for London borough officers; - online support and information.  Callers will be supported in relation to all forms of domestic and sexual violence, including sexual exploitation within a gang context.  UKROL provided comprehensive data on all London VAWG services, enabling users to instantly identify spaces in, and refer to, refuge accommodation.   Drawing on information provided by the helplines and UKROL database, and collected directly from London domestic and sexual violence services, Women's Aid provided London Councils with comprehensive data on: - the nature and availability of service provision in London; - the utilisation of refuge provision; - outcomes of referrals across London (linked to protected equalities characteristics); - gaps in service provision.",1000152.0,2013-02-20,2013-04-01,Women's Aid Federation of England (Women's Aid),1054154,GB-COH-03037449,London Councils
platform,360G-LankellyChase-2015-16-024,Expert Link,"To develop a nationally representative platform which builds the voice, power and influence of people with severe and multiple disadvantage.",50000.0,2016-03-02,,Homeless Link ,1089173,GB-CHC-1107583,Lankelly Chase Foundation
map,360G-LankellyChase-2015-16-043,Grant to New Philanthropy Capital (NPC),"To edit, design and print NPC’s LankellyChase-funded research to map the landscape of systems change thinking as it applies to social problems and the social sector.",4925.0,2015-05-15,,New Philanthropy Capital (NPC),1091450,GB-CHC-1107583,Lankelly Chase Foundation
technolog,360G-LondonCouncils-7579,London for All,"‘London for All’ is a London Councils’ funded project to capacity build London’s voluntary and community sector. The partners are Race on the Agenda, Women’s Resource Centre, HEAR (the network of London equality organisations) and Lasa. The project aims: To address identified gaps developing in borough's VCS support services, while providing economies of scale through specialist pan-London support To help London Councils and VCOs to meet their obligations under the Equality Act 2010 To support organisations to use relevant technologies to facilitate effective delivery  The project includes tailored training not provided locally, effective signposting, support for pan-London partnership working, links to other support services around developing consortia and merger, and delivery of specialist ICT and HR support for VCS organisations.  ",1470656.0,2013-02-20,2013-04-01,London Voluntary Service Council,276886,GB-COH-03037449,London Councils
map,360G-virginmoneyfdn-0535,Grant to Back On The Map,"Back on the Map is a local charity which has a long term strategy to buy empty and poorly managed properties in Hendon, hold them in local ownership, and then offer them as good quality homes where people can afford to stay and settle. Their objective is to provide a better place for communities to thrive. A long term loan of £390k from the city council, combined with a £220k grant from The Virgin Money Foundation’s Ripple Fund and Back on the Map's own commitment of £390k, will enable the charity to buy 20 empty or run down properties which will be refurbished and returned to the rental market to provide much needed family homes.",288935.0,2017-07-24,,Back On The Map,467645,GB-CHC-1161290,Virgin Money Foundation
platform,360G-LankellyChase-2016-17-020,Grant to The Forum for the Future,To develop a platform which shares existing and ground-breaking systems change thinking; and to transfer knowledge and tools to organisations working with people facing severe and multiple disadvantage.,20000.0,2016-05-10,,The Forum for the Future,1040519,GB-CHC-1107583,Lankelly Chase Foundation
map,360G-nesta-0062400000E3kko,AR00162,Mapping programme grant to RSA Grant Ref AR00162,9990.0,2014-03-28,2014-03-28,RSA,212424,GB-CHC-1144091,Nesta
map,360G-SE-2015007478LOTT,Body Maps,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Body Maps'. This project lists its main activity as Movement & Dance.,8900.0,2016-06-13,2016-09-01,Wolf + Water Arts Company,1062876,GB-COH-RC000766,Sport England
technolog,360G-SE-2015000303EXCH,Sports Lighting,Funding under Sport England's Technologies in Sports Lighting & Modular Design funding programme for a Capital project titled 'Sports Lighting'. This project lists its main activity as Multi Sports. This funding has contributed towards a FloodLights - FloodLights (Floodlights),50161.0,2015-01-30,2015-03-06,Merchants Academy,1112261,GB-COH-RC000766,Sport England
platform,360G-SE-2014015904LOTT,Replacement of damaged fishing platforms at Ironbridge,Funding under Sport England's Flood Relief Fund funding programme for a Capital project titled 'Replacement of damaged fishing platforms at Ironbridge'. This project lists its main activity as Angling. This funding has contributed towards a Flood Relief - Flood Relief (Repair/Defence),27552.0,2015-04-24,2015-04-01,Severn Gorge Countryside Trust,1004508,GB-COH-RC000766,Sport England
measur,360G-SomersetCF-A433567,Development grant,Development grant to improve outcome measurement and reporting,250.0,2017-01-16,2016-07-01,In the Mix Youth Project,1161486,GB-COH-04530979,Somerset Community Foundation
data,360G-LondonCouncils-7563,Stronger Organisations-Benefiting London(ers),"Supporting diversification of funding, self sustaining income generation and social enterprise. Managers who are more skilled and capable of leading their organisations to be better able to respond to increasingly complex demands on their service, More effective use of the data collection methods to present a more accurate and dynamic picture of real impact made for Londoners, Agencies working more effectively through collaboration and the sharing of good practice, access to information and developing social policy. As a result the advice sector will be in a much stronger position to deal more effectively with the problems faced by Londoners as a result of the welfare changes, high levels of unemployment, low wage employment and those on fixed incomes, such as pensioners.  ",1015264.0,2013-02-20,2013-04-01,Advice UK,299342,GB-COH-03037449,London Councils
technolog,360G-SE-2015000852EXCH,BATTS LED Lighting Scheme,Funding under Sport England's Technologies in Sports Lighting & Modular Design funding programme for a Capital project titled 'BATTS LED Lighting Scheme'. This project lists its main activity as Table Tennis. This funding has contributed towards a FloodLights - FloodLights (Floodlights),76171.0,2015-02-26,2015-02-23,BATTS Table Tennis Club and Sports Centre,1155764,GB-COH-RC000766,Sport England
technolog,360G-blf-0031048945,Marlborough St Mary's Primary School Media Project,A media and technology suite will be installed at this primary school for use by school children and the wider community. This will also people to gain improved communication and technology skills and strengthen links between the school and the community.,9840.0,2017-05-03,2017-06-05,FOMSM,1128242,360G-blf,The Big Lottery Fund
technolog,360G-SE-2013017406EXCH,Sports lighting for Athletics Track,Funding under Sport England's Technologies in Sports Lighting & Modular Design funding programme for a Capital project titled 'Sports lighting for Athletics Track'. This project lists its main activity as Athletics. This funding has contributed towards a FloodLights - FloodLights (Floodlights),51610.0,2014-01-20,2014-02-01,Paddock Wood Athletics Club,1139343,GB-COH-RC000766,Sport England
measur,360G-blf-0031052025,Eagle House Business Development and Support,"The project will enlist specialist social enterprise support to help them develop a business plan, funding streams, governance, marketing and measure social impact. This will improve the infrastructure of the organisation and ensure its future sustainability so it can continue to help vulnerable families with supported accommodation, training, advice and therapeutic services.",9880.0,2017-08-09,2017-09-25,PACT-NE,1169484,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048080,Response to Community Consultation,This group will use the funding to purchase technology equipment to deliver technology and craft workshops. This will improve people’s skills and reduce social isolation.,9313.0,2017-04-05,2017-05-19,New Heights - Warren Farm Community Project,1120869,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048909,Smarter Warmth for Dementia Care,"This funding will be used to conduct research into the potential for wearable technology, to provide alert systems for the effects of cold and damp homes on people living with dementia. This will enable earlier interventions to avoid health problems.",9908.0,2017-05-03,2017-06-12,Community Energy Plus,1068990,360G-blf,The Big Lottery Fund
app,360G-blf-0031053872,Youth (NEET) Lead Community App: Personal Development Opportunity,This project will help to publicise and develop a signposting app for unemployed young people aimed at supporting them to access information and opportunities.,10000.0,2017-10-18,2017-10-27,LVN,1161275,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048864,Personal Development through ICT,This organisation will use the funding to provide new technology equipment to help develop the skills of the children. This will provide a sustainable way of improving essential skills in children as well as volunteers at the group.,7982.0,2017-05-03,2017-05-31,St Gabriels Playgroup,1036707,360G-blf,The Big Lottery Fund
app,360G-blf-0031054249,Young Digital Makers,"This project will deliver a programme of activity created by and for disadvantaged young people. It will offer training and development with the aim of improving skills and ultimately building a stronger community. There will be an 18 month programme of free weekend sessions, shaped by local young people. This will include using technology creatively, including everything from creating apps and digital tools, social media, music, film making, websites, animation, design and coding.",56477.0,2017-11-01,2018-01-15,Horsebridge Arts and Community Centre,1099570,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031054249,Young Digital Makers,"This project will deliver a programme of activity created by and for disadvantaged young people. It will offer training and development with the aim of improving skills and ultimately building a stronger community. There will be an 18 month programme of free weekend sessions, shaped by local young people. This will include using technology creatively, including everything from creating apps and digital tools, social media, music, film making, websites, animation, design and coding.",56477.0,2017-11-01,2018-01-15,Horsebridge Arts and Community Centre,1099570,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031050627,The DECV 'Digital Friends Initiative',"The group will run digital technology skills sessions for local people, who will then be able to pass on their skills to fellow residents, friends and colleagues via the development of a digital friends scheme. This will reduce digital isolation and upskill the community with the aim of improving their future life chances.",9732.0,2017-06-28,2017-07-18,DECV Limited,1090187,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048914,IT 4 IAG,"This group will use the funding to upgrade their technology equipment. This will offer an improved service, providing advice and support to people who wish to improve their skills and knowledge.",10000.0,2017-05-03,2017-06-19,Support Staffordshire,1161077,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031051088,Adviceline 2017,This group will use the funding to make improvements to their technology and telephony system and pay volunteer expenses. This will improve the group’s capacity to offer advisory services to the local community.,6358.0,2017-07-12,2017-08-09,Citizens Advice Exeter,1091143,360G-blf,The Big Lottery Fund
platform,360G-blf-0031051569,IT Systems Modernisation,This group will use the funding to modernise and improve their IT infrastructure so that they can continue to provide advocacy services to the local community. This will build the capacity of the group by supporting new technology platforms.,9986.0,2017-07-26,2017-08-17,North Bristol Advice Centre,1066921,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031051569,IT Systems Modernisation,This group will use the funding to modernise and improve their IT infrastructure so that they can continue to provide advocacy services to the local community. This will build the capacity of the group by supporting new technology platforms.,9986.0,2017-07-26,2017-08-17,North Bristol Advice Centre,1066921,360G-blf,The Big Lottery Fund
platform,360G-blf-0031050844,"Development of our IT platform, website, e-commerce and branding","This group’s IT platform will be improved with the funding, enhancing the way it delivers and administrates its counselling services.",10000.0,2017-07-05,2017-08-04,GCS,1109904,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048488,Tablets to help Dementia suffers and their carers.,"This organisation will use the funding to purchase technology resources, media equipment and software to build their infrastructure, as well as provide group activities and games to support people with dementia. Over 6,000 people with dementia will be supported and their families and carers. The activities will include reflective and memory sessions to reduce social isolation and loneliness.",9850.0,2017-04-19,2017-05-23,Know Dementia,1154361,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031049916,Closing the health and social care digital divide,This group will use the funding to deliver technology and digital training for older people and people living with disabilities. This will improve life chances for people who are socially isolated.,9650.0,2017-06-07,2017-07-04,Healthwatch Torbay Ltd,1153450,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031050657,Celebrating Digital Inclusion,A programme of digital inclusion activities will be delivered which will support older people. This will challenge issues surrounding isolation and encourage people taking part to become more confident in using technology.,5134.0,2017-06-28,2017-07-20,Age UK Walsall,518799,360G-blf,The Big Lottery Fund
app,360G-blf-0031047807,Parents Voices,This project will use funding to create a mobile phone app that will support parents who struggle to access information and assistance. This will create a new resource to help them improve their skills.,9845.0,2017-04-02,2017-07-05,The Crib,1099205,360G-blf,The Big Lottery Fund
text messag,360G-blf-0031051132,Just Ask ...,This group will use the funding to set up a pilot project in which people with mental health issues will have increased access to the organisation’s service. This will give local people easier access to advice and guidance about mental health via a text messaging system.  ,9671.0,2017-07-12,2017-09-05,Cheadle Citizens Advice Bureau,1128833,360G-blf,The Big Lottery Fund
map,360G-blf-0031049170,Mapping Manchester's Quiet Spaces,"The funding will be used by a charity to explore and investigate different spaces and places in Manchester and create a map of places that promote calm and stillness. The project will run a series of guided walks, visits and activities for people with mental health problems in the local community. This will improve confidence and ensure that there are accessible activities for people with mental health issues.",10000.0,2017-05-17,2017-06-21,TLC-St Lukes Art Project,1141796,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031053967,Office equipment for Generating Genius,"This project will develop and improve the reach of the group's programme supporting young people from underrepresented groups to enter careers in science, technology, engineering and maths.",8945.0,2017-10-25,2017-10-31,Generating Genius,1154828,360G-blf,The Big Lottery Fund
app,360G-blf-0031047994,Reduce Anxiety In Cancer Patients,"The project will develop a mindfulness meditation app for people who are going through treatment for blood cancer. This will provide people at risk of isolation, with short information sessions and guided meditations to help reduce their anxiety and improve their wellbeing.",10000.0,2017-04-05,2017-05-18,Bright Red,1105891,360G-blf,The Big Lottery Fund
platform,360G-blf-0031049980,How To Close Race Disparities Platform,How To Close Race Disparities Platform,21480.0,2017-06-12,2017-06-14,Black Training and Enterprise Group (BTEG),1056043,360G-blf,The Big Lottery Fund
measur,360G-blf-0031052689,Targeting fuel poverty,"The funding will be used to improve the capacity of community groups to deliver fuel poverty projects locally, through improved training materials, partnership working and using measuring tools to monitor heating systems in local residents’ homes.",9996.0,2017-09-06,2017-09-15,CSE,298740,360G-blf,The Big Lottery Fund
databas,360G-blf-0031051461,Celebrating 25 years of improving mental health,This project will use the funding to refurbish their premises and update their database and IT facilities to support people in the community who are experiencing mental health and wellbeing issues.,6790.0,2017-07-26,2017-09-04,Counselling Plus Community,1168634,360G-blf,The Big Lottery Fund
app,360G-blf-0031052627,Smart VIs,"The group will increase their peer training and support services, in the use of technologies and apps which can enhance the wellbeing and lives of visually impaired or blind people, by recruiting and training more blind or visually impaired volunteers. This will reduce loneliness and isolation, improve the skills, confidence and employability of volunteers, and raise awareness of the issues that visually impaired people face on a day to day basis.",322605.0,2017-09-06,2017-12-01,KVIN,1160580,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031052627,Smart VIs,"The group will increase their peer training and support services, in the use of technologies and apps which can enhance the wellbeing and lives of visually impaired or blind people, by recruiting and training more blind or visually impaired volunteers. This will reduce loneliness and isolation, improve the skills, confidence and employability of volunteers, and raise awareness of the issues that visually impaired people face on a day to day basis.",322605.0,2017-09-06,2017-12-01,KVIN,1160580,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031050166,IT Skills Training Centre,"Computers, laptops, software, projectors, a television and an interactive smartboard will be purchased with this funding, so that the group can provide better technology training for people with learning disabilities. This will create new facilities for personal development and increase life chances in this community.",9955.0,2017-06-14,2017-07-06,Birmingham Sherbourne Sea Cadets,522889,360G-blf,The Big Lottery Fund
platform,360G-blf-0031051673,Anxious Minds - Online Recovery Centre,"This is a project by a charity in North Tyneside supporting people in the North East. The project will improve their support services by developing an online recovery centre for people with anxiety or depression. This will help local people to improve their mental wellbeing by offering easy access to interactive online learning platforms and blogs, phone support and workshops, relaxation and coping mechanisms.",10000.0,2017-08-02,2017-08-25,Anxious Minds,1164040,360G-blf,The Big Lottery Fund
data,360G-blf-0031049823,A Facilitator for Leadership in the VCSE Sector,"This project aims to address the gap between supply and demand for leadership development. The group will work towards bridging this gap through the Facilitator Role, a set of activities that will engage the Voluntary Community and Social Enterprise sector and its leaders in conversations about good, social and ethical leadership. Clore will bring leaders together in peer learning groups, conduct research, highlight good practice and use data to develop and test new approaches to leadership development.",498744.0,2017-05-31,2018-01-01,Clore Social Leadership,1136727,360G-blf,The Big Lottery Fund
technolog,360G-LondonCatalyst-1230062400000DximcAAB,kingston upon Thames Samaritans - 1,Expansion of work to high risk low income earning men and update communications technology,1150.0,2013-05-08,,kingston upon Thames Samaritans,255682,GB-CHC-1066739,London Catalyst
app,360G-LondonCatalyst-1230062400000RrNH7AAN,City Harvest - 1,"Food Rescue Service: mobile communication devices and the development and refinement of the app to capture data on donations, food miles and impact.",3000.0,2017-03-02,,City Harvest,1163055,GB-CHC-1066739,London Catalyst
data,360G-LondonCatalyst-1230062400000RrNH7AAN,City Harvest - 1,"Food Rescue Service: mobile communication devices and the development and refinement of the app to capture data on donations, food miles and impact.",3000.0,2017-03-02,,City Harvest,1163055,GB-CHC-1066739,London Catalyst
technolog,360G-blf-0031049820,The Bayton IT Club project,Family learning technology workshops will be provided with this funding. This will develop digital skills and knowledge for people of all ages in this rurally isolated village.  ,10000.0,2017-05-31,2017-06-30,Bayton School Parent Teacher Association,1093576,360G-blf,The Big Lottery Fund
measur,360G-RST-71,Grant to Sustrans,Developing and Evaluating Light Touch Traffic Calming Measures to Improve Road Safety Outside Schools,88919.0,2017-10-26,2017-11-01,Sustrans,326550,GB-CHC-1156300,Road Safety Trust
platform,360G-blf-0031051372,Wrexham Foodbank Distribution Centre,"Project Summary :  Wrexham Food Bank - Banc Bwyd Wrecsam will use the grant to increase access to emergency food and related advice for people living in the local area.  What Money is for :  This grant for £3,188 will fund tablecloths, toys, leaflet stands and dispensers, a scissor lift platform table, two laptops, two office chairs, a printer, and a fireproof safe.",3188.0,2017-07-24,2017-08-29,Wrexham Food Bank - Banc Bwyd Wrecsam,1162262,360G-blf,The Big Lottery Fund
platform,360G-blf-0031053177,Radio Ninesprings - Media Access For All,"The funding will be used by a charity to purchase equipment to allow it to broadcast as a community FM radio station. The project aims to provide a platform for people to discuss local issues and gain information on activities and services in the area, developing positive community relationships and a sense of identity.",10000.0,2017-09-20,2017-10-04,Ninesprings FM,1168243,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048286,AM to PM,"Exercise and information technology classes will be provided for older people with this funding. This will help people to improve their physical wellbeing, reducing social isolation and becoming more digitally connected.",9418.0,2017-04-11,2017-05-09,ConGens,1159464,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031050688,The Blue Coat Family Learning Growing up Digital Project,This group will use the funding to set up a family technology learning scheme. This will allow children and their parents or guardians to work together and develop their technological skills.,10000.0,2017-06-28,2017-08-16,BLUE COAT FEDERATION PTA,1160506,360G-blf,The Big Lottery Fund
technolog,360G-woodward:WCT821,Towards a music technology initiative ,Towards a music technology initiative working with young people in young offenders institutions and pupil referral units.,10000.0,2007-02-08,,Oxfordshire Youth Arts Partnership (OYAP Trust),1111500,GB-CHC-299963,Woodward Charitable Trust
app,360G-blf-0031053436,Tots Talking,"This project is designed to support the communication and language development of two year olds in Knowsley, Merseyside. The work has been developed in collaboration with local parents and carers who helped design the project contents, chose how and where it will be delivered and provided ideas for a smartphone app which will be used as part of the programme. To ensure support is available where it is needed most, nursery and children’s centre practitioners will be trained to deliver the programme locally.",191222.0,2017-10-04,2017-10-25,I CAN,210031,360G-blf,The Big Lottery Fund
platform,360G-blf-0031053452,Platform Lift for wheelchair passengers,"The charity will use the funding to replace their broken wheelchair platform lift, enabling people to access the hall for community activities.",10000.0,2017-10-04,2017-10-26,The Wykeham Centre and Church House,291485,360G-blf,The Big Lottery Fund
platform,360G-SE-2017008364EXCH,Disability angling platforms,"Funding under Sport England's Community Asset Fund funding programme for a Capital project titled 'Disability angling platforms'. This project is a Angling project, with a focus on beneficiaries with a disability. This funding has contributed towards a Angling - Angling (Angling Facility)",38620.0,2017-10-24,2017-09-01,The Albrighton Trust,1000402,GB-COH-RC000766,Sport England
measur,360G-SeafarersUK-876,Grant to Directory of Social Change (DSC),Funding of an evaluation of Seafarers UK's grant making strategy.  DSC will begin the process by assessing the current internal practices and will provide a baseline measurement from which to examine the external application of grant making.,3626.0,2017-01-31,,Directory of Social Change (DSC),800517,GB-CHC-226446,Seafarers UK
technolog,360G-blf-0031049544,Get Digital !,"Technology and media training will be delivered to young people, to improve their life skills through positive community engagement. This will create new opportunities for personal development and increase life chances in this community.",9950.0,2017-05-24,2017-07-14,Cornwall Film Festival,1126161,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031053317,Computer Training For All,"This project will provide computer training sessions that will be open to all from the local community, to improve digital and technology skills and develop positive community relationships.",9995.0,2017-09-27,2017-10-10,E2,1111178,360G-blf,The Big Lottery Fund
app,360G-blf-0031053446,Volunteer Recruitment and Management App,The project will focus on developing an app to support improved access to volunteering opportunities.,9615.0,2017-10-04,2017-10-14,JVN,1130719,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031048234,Upgrade of IT equipment,"This group will upgrade their IT equipment with this funding, to provide an interactive learning resource and record each child’s learning journey online. This will enhance the facilities available to support children’s learning and develop their technology skills in preparation for school.",6119.0,2017-04-11,2017-05-12,Orleton Preschool Group,1055045,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031049681,Community Champions,"The aim of the project is to empower older people and the wider community by creating a hub to increase social connections and reduce loneliness for those over 60. Services will be more proactive and will provide short term interventions that focus on engaging older people with their communities. One-to-one support will be offered to help older person attend social groups and activities in the community (buddying, transport), make friends or connect with family and friends using technology and letters.",499198.0,2017-05-31,2017-07-03,VASL,1141274,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031052014,Better Together,"This project will see Methodist Homes and Father Hudson’s Care offer one-to-one and group support for older people. It will help people stay connected to their local community with opportunities to be active, social and independent. Activities will be shaped by those taking part, and could include social groups, craft sessions, dancing, technology classes and reminiscence sessions. Existing lunch clubs will continue with a community chef offering community cookery lessons.",483734.0,2017-08-09,2017-11-13,MHA,1083995,360G-blf,The Big Lottery Fund
platform,360G-blf-0031053965,Platform 5,"This project will run an online platform creating digital content focused on tackling issues young people face, providing people with opportunities to fulfil their potential and inspire others.",9950.0,2017-10-25,2017-10-31,Rio Ferdinand Foundation,1151127,360G-blf,The Big Lottery Fund
technolog,360G-woodward:WCT2355,Costs of a physiotherapist,Towards the costs of a physiotherapist who is also a trainer in Appropriate Paper-Based Technology (APT) for low-cost devices to assist disabled children in India.,1000.0,2017-11-15,,Multi Agency International Training and Support,1126268,GB-CHC-299963,Woodward Charitable Trust
measur,360G-woodward:WCT2007,Towards a workshop teaching preventative measures,Towards a workshop teaching preventative measures about the risks of irresponsible and abusive behaviour on social media.,500.0,2016-02-24,,Futures Theatre Company,1052890,GB-CHC-299963,Woodward Charitable Trust
analysi,360G-blf-0031048349,Evaluation and Promotion of Gateshead OPA,"The project will carry out an independent external evaluation of their activities and services, and create a promotional film to demonstrate the impact of their work. This will provide an impartial analysis of the social and cost benefits of the group’s services, enable them to tender for larger contracts, and increase their capacity to provide more projects and activities for older people.",9690.0,2017-04-19,2017-05-25,Gateshead Older People's Assembly,1155832,360G-blf,The Big Lottery Fund
technolog,360G-woodward:WCT2198,Towards its technology package at Bluebell Wood Children’s Hospice,Towards its technology package at Bluebell Wood Children’s Hospice in Sheffield.,500.0,2017-03-23,,Lifelites,1165791,GB-CHC-299963,Woodward Charitable Trust
technolog,360G-woodward:WCT2358,Towards training disabled people in computer technology,Towards training disabled people in computer technology.,500.0,2017-11-15,,UCanDoIT,1070571,GB-CHC-299963,Woodward Charitable Trust
app,360G-woodward:WCT2214,Towards a mobile app and microsite,Towards a mobile app and microsite enabling all children of serving British and regular reserve forces to have a sense of belonging and maintain fundamental communication through periods of separation from a parent.,1500.0,2017-03-23,,Little Troopers,1149258,GB-CHC-299963,Woodward Charitable Trust
measur,360G-QuartetCF-A469038,BHN House Energy Warriors Team,"Toward the cost of energy efficiency measures at the group's 12 bedroom men's hostel for asylum seekers and to provide 3 Energy Saving Training sessions, provided by the Centre for Sustainable Energy, at the hostel.",2100.0,2018-02-27,2018-02-18,Bristol Hospitality Network,1138498,GB-CHC-1080418,Quartet Community Foundation
technolog,360G-CheshireCF-A447637,Musical Theatre days and Performance Projects 2017-18,"Clonter Farm Music Trust supports an educational outreach programme designed to introduce young people to Musical Theatre, Opera and operetta in areas where there is low engagement with the arts. The project also aims to offer young people an insight in to the career opportunities creative arts and technology has to offer them. The Cheshire Community Foundation grant will be utilised to contribute to the artistic staff and project costs needed to deliver the programme.",1500.0,2017-07-31,2017-09-06,Clonter Farm Music Trust,1083903,GB-CHC-1143711,Cheshire Community Foundation
data,360G-HeartofEnglandCF-A426663,Grant to SINCE 9/11,"Grant funding will support us to develop and extend our high quality educational offer to a wider range of schools. We would like to request in-kind support and grant funding to assist us through two specific projects: Project 1: Improve the reach of our existing materials to secondary schools across the country, sharing our high quality free resources more widely. To achieve this, we are seeking a) in-kind support through social media training to boost our online presence, support us in creating new social media content aimed at teachers and help us develop in-house knowledge about effective social media campaign work, and b) grant funding to allow us to offer more teacher workshops and school assemblies. To date our resources have been downloaded over 50,000 times but many schools are unaware of the full programme we offer and we think that improved presence online and in person will address this gap. Project 2: Extend our Education Programme content, keeping the existing materials up to date and producing new materials tailored for younger age groups. Grant funding will enable us to buy in specialist support to draft, trial and evaluate new lessons and support for teachers aimed at improving the ability of primary school teachers in discussing contentious issues and promoting respect and tolerance. Survey data indicates that primary schools are lagging far behind secondary schools in feeling equipped to address extremism concerns.",43000.0,2017-02-24,2017-03-01,SINCE 9/11,1136568,GB-CHC-1045304,Heart Of England Community Foundation
measur,360G-CheshireCF-A459157,Fallen Angels,"The Comic Relief Core Strengths funding will enable Fallen Angels Dance Theatre (FADT) to initiate a relationship with UCLan (University of Central Lancashire) to develop a bespoke interactive tool that would enable FADT to measure their impact, and better understand the journey our beneficiaries as they navigate through their projects. The grant will fund the time of a core staff member and consultancy fees.",4440.0,2017-11-23,2017-12-04,Fallen Angels Dance Theatre North West,1158251,GB-CHC-1143711,Cheshire Community Foundation
technolog,360G-QuartetCF-A454739,Grant to Designability,"As requested by the donor towards the research, design and manufacture of assistive technologies.",250.0,2017-08-16,,Designability,256335,GB-CHC-1080418,Quartet Community Foundation
measur,360G-USTSC-CIPFA2R1_100000,Planning Voice,"The project will support and empower local people from disadvantaged communities in north Southwark to influence physical developments affecting their local environment.  It will enable residents to be effectively involved in planning decisions and ensure that they are supported with mitigation measures where affected negatively by developments.  A specialist caseworker will provide group training sessions on planning and licensing issues for local residents.  It will work on an outreach basis in the premises of partner agencies and local groups.  10 ‘expert’ volunteers, largely drawn from the local community, will support the work of the project and ensure skills transfer for the future. Pro-bono input will be secured from planning or legal experts living or working elsewhere in Southwark.",33000.0,2017-03-21,2017-08-01,Southwark Law Centre,277927,GB-CHC-1103731,United St Saviour's Charity
platform,360G-QuartetCF-A466836,Eight,"Toward the cost of taking on an intern to support the group's Eight programme, a creative industry training and employment platform for disadvantaged young people aged 18-30.",1500.0,2018-01-11,2018-01-22,Knowle West Media Centre,1092375,GB-CHC-1080418,Quartet Community Foundation
technolog,360G-QuartetCF-A466707,Grant to The Garwood Foundation,Towards eye gaze technology including software for a school providing education to young people with profound and multiple learning disabilities.,6370.0,2017-12-01,,The Garwood Foundation,272905,GB-CHC-1080418,Quartet Community Foundation
data,360G-QuartetCF-A443493,Access for All,"To purchase a new computer system and confidential data base, replacing existing system.",8062.0,2017-06-06,2017-06-01,Vision North Somerset,1165364,GB-CHC-1080418,Quartet Community Foundation
technolog,360G-Walcot-00680000016xcwoAAA,Careers coaching at Lilian Baylis Technology School,Careers coaching at Lilian Baylis Technology School,18190.0,2017-11-21,,Future Frontiers,1162470,GB-CHC-312800,Walcot Foundation
technolog,360G-blf-A4E_3_010131209,An organisation of active learning projects for children in Walsall,"A project to provide Walsall based school children and their parents with the opportunity to take part in a design and technology active learning project. The grant will pay for equipment, teachers and peer tutors.",5000.0,2004-09-07,2004-09-19,Children's University,1042505,360G-blf,The Big Lottery Fund
